device,ip,bas_name,occ_sensorId,current_zone,target_tenant,target_zone_uuid,evidence,confidence
device 166,192.168.0.166,Wynn VAV 10-16,18ce6268-f4b6-4d91-8250-9e5d66e25cb5,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 156,192.168.0.156,Wynn VAV 10-6,fabc3ca1-b827-4ffe-8c06-9809f5627369,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 168,192.168.0.168,Wynn VAV 10-18,e2d2a085-af1d-4d0f-81cc-120a0639f3f1,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 163,192.168.0.163,Wynn VAV 10-13,b8f4f71f-9733-4d20-beae-41d43a65a274,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 164,192.168.0.164,Wynn VAV 10-14,f6028561-d12e-4af8-9405-ed2e92592aef,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 162,192.168.0.162,Wynn VAV 10-12,f8ff66dd-259b-42be-879b-fd49f535751c,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 158,192.168.0.158,Wynn VAV 10-8,7d327cf1-cd5b-4257-9d4d-e22da17ab323,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 176,192.168.0.176,Wynn VAV 10-26,0ae68531-d470-450a-83ba-d3fbaf5a175d,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 175,192.168.0.175,Wynn VAV 10-25,fc9fa82e-c6e8-4f21-8c81-2ef6c834349a,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 172,192.168.0.172,Wynn VAV 10-22,94d1e586-12da-4111-b70e-6edb9cb7b470,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 167,192.168.0.167,Wynn VAV 10-17,9e6dfa48-7004-4ccf-816c-a41d60379f97,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 7185,192.168.7.185,VAV-25,768057bc-fd7a-4285-9b16-2ea4ad683397,MECH. ROOM,MP Mine Operations (Suite 800),*** CREATE ZONE ***,BACnet Location='MP Materials'; desc 'VAV-25',HIGH
device 7154,192.168.7.154,VAV-5,85e27e94-965d-4e0b-905b-9522b539ffb2,MECH. ROOM,MP Mine Operations (Suite 800),*** CREATE ZONE ***,BACnet Location='MP Materials'; desc 'VAV-5',HIGH
device 7155,192.168.7.155,VAV-4,7004d63c-b053-48bd-a7c6-47ef6d785132,MECH. ROOM,MP Mine Operations (Suite 800),*** CREATE ZONE ***,BACnet Location='MP Materials'; desc 'VAV-4',HIGH
device 7186,192.168.7.186,VAV-13,318a4057-c588-4743-bfa8-9a0bffcb94b6,MECH. ROOM,MP Mine Operations (Suite 800),*** CREATE ZONE ***,BACnet Location='MP Materials'; desc 'VAV-13',HIGH
device 7179,192.168.7.179,VAV-29,dc18681e-dc22-4c35-b685-ddc211d8d170,MECH. ROOM,MP Mine Operations (Suite 800),*** CREATE ZONE ***,BACnet Location='MP Materials'; desc 'VAV-29',HIGH
device 141141,192.168.6.87,VAV-7,c7c34e31-abe5-496c-9a98-f03fa82136b1,MECH. ROOM,Ghost Beverages (Suite 640),598afd7c-acee-4e51-a028-3d085e5971b3,BACnet Location='Ghost Lifestyle Ste 640',HIGH
device 30109,192.168.3.19,Open Offices,7337b3ca-0136-4884-b973-a0c42d9d0e06,MECH. ROOM,Mass Mutual (Suite 320),(lookup),BACnet Location='Suite 320',HIGH
device 30115,192.168.3.115,South West Office,c3cc65ed-3739-4377-9800-be82f86b07d3,MECH. ROOM,Mass Mutual (Suite 320),(lookup),BACnet Location='Suite 320',HIGH
device 10105,192.168.1.15,VAV 1-5,b52b4c34-f882-4a6b-8c22-471e72bcee05,MECH. ROOM,Summerlin Gallery (Suite 120),*** CREATE ZONE ***,BAS SummerlinSales1 = vav1_05,HIGH
device 1033,192.168.1.33,VAV 1-23,654d09f0-1f4b-4b76-8416-25ff4833f124,MECH. ROOM,Summerlin Gallery (Suite 120),*** CREATE ZONE ***,BAS SummerlinSales1 = vav1_23,HIGH
device 50560,192.168.5.60,VAV 5-10,64e9ca00-8ca6-4661-a3a0-f658437d9af3,MECH. ROOM,Bessemer Trust (Bessemer Group),fe7b9906-807c-4c01-9419-cc6b28ac9f98,"inside contiguous .5.51-.63 Bessemer block; BAS=13, P8S had 12",HIGH
device 5163,192.168.5.163,VAV-5-3,6d7cd038-89df-4a43-a74b-a416759ee307,MECH. ROOM,ER Injury Attorneys,b784e831-f205-4682-91a4-fd298f4274e5,"inside contiguous .5.161-.172 ER Injury block; BAS=12, P8S had 10",HIGH
device 5168,192.168.5.168,VAV-5-8,43aab541-6f69-4d67-b69c-7d9da18f50c7,MECH. ROOM,ER Injury Attorneys,b784e831-f205-4682-91a4-fd298f4274e5,inside contiguous .5.161-.172 ER Injury block,HIGH
device 3034,192.168.3.34,VAV-3-04,,(none),"Rimini Street, Inc.",d0662050-4bd5-484a-81dc-ced1a96164a1,"inside contiguous .3.31-.36 Rimini block (VAV-3-01..06); BAS=6, P8S had 5",HIGH
device 115036,192.168.3.62,Procedure Rm 105,,(none),Dr. Snyder Cosmetic Dentistry,345cb957-b4fc-4a1f-90f7-93eddaa901b0,"adjacent to .3.61 already Dr Snyder; BAS SnyderDental=VAV3_61,62",HIGH
